# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 38.8950
# Longitude (positive East, ISO 19115): -77.0365
# Altitude (m): 10.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-03-02T00:00:00.0/2022-03-03T00:00:00.0;6945.2300;4955.9517;3786.7930;1169.1589;7282.7178
2022-03-03T00:00:00.0/2022-03-04T00:00:00.0;7013.4917;5274.7681;4505.1763;769.5914;8801.0459
2022-03-04T00:00:00.0/2022-03-05T00:00:00.0;7081.8423;5412.1772;4629.3130;782.8640;9027.6338
2022-03-05T00:00:00.0/2022-03-06T00:00:00.0;7150.3057;5095.6821;3778.9900;1316.6921;7105.1426
2022-03-06T00:00:00.0/2022-03-07T00:00:00.0;7218.8115;4821.9614;3182.5215;1639.4399;5843.3779
2022-03-07T00:00:00.0/2022-03-08T00:00:00.0;7287.3745;5152.2656;4009.9316;1142.3339;7451.9243
2022-03-08T00:00:00.0/2022-03-09T00:00:00.0;7355.9253;5607.6631;4765.5454;842.1175;9098.0244
2022-03-09T00:00:00.0/2022-03-10T00:00:00.0;7424.4873;5370.0459;4403.0259;967.0200;8211.2920
2022-03-10T00:00:00.0/2022-03-11T00:00:00.0;7492.9863;5507.4253;4429.1567;1078.2686;8181.6479
2022-03-11T00:00:00.0/2022-03-12T00:00:00.0;7561.4517;5545.6875;4434.5620;1111.1254;8144.1768
2022-03-12T00:00:00.0/2022-03-13T00:00:00.0;7629.8027;5657.7754;4717.2588;940.5166;8613.9004
2022-03-13T00:00:00.0/2022-03-14T00:00:00.0;7698.0796;5877.7407;4936.1660;941.5751;9098.1426
2022-03-14T00:00:00.0/2022-03-15T00:00:00.0;7766.1909;5806.0552;4781.6821;1024.3730;8726.9912
2022-03-15T00:00:00.0/2022-03-16T00:00:00.0;7834.1919;5754.6914;4564.1514;1190.5398;8192.0732
2022-03-16T00:00:00.0/2022-03-17T00:00:00.0;7901.9766;5863.1094;4761.0913;1102.0179;8520.4443
2022-03-17T00:00:00.0/2022-03-18T00:00:00.0;7969.6187;5551.1826;4175.9722;1375.2104;7258.3223
2022-03-18T00:00:00.0/2022-03-19T00:00:00.0;8037.0337;5934.7461;4933.4800;1001.2659;8747.5049
2022-03-19T00:00:00.0/2022-03-20T00:00:00.0;8104.1968;5808.3896;4566.6074;1241.7820;8105.4512
2022-03-20T00:00:00.0/2022-03-21T00:00:00.0;8171.1333;6131.2305;5257.5176;873.7127;9439.7734
2022-03-21T00:00:00.0/2022-03-22T00:00:00.0;8237.7686;6039.7788;4754.1182;1285.6605;8399.8252
2022-03-22T00:00:00.0/2022-03-23T00:00:00.0;8304.1504;6094.9868;4856.9395;1238.0470;8343.0781
2022-03-23T00:00:00.0/2022-03-24T00:00:00.0;8370.1816;5838.3203;4217.8345;1620.4860;7003.4907
2022-03-24T00:00:00.0/2022-03-25T00:00:00.0;8435.9326;5963.3687;4639.4541;1323.9144;7870.7603
2022-03-25T00:00:00.0/2022-03-26T00:00:00.0;8501.2852;6366.6807;5288.1694;1078.5114;9131.5400
2022-03-26T00:00:00.0/2022-03-27T00:00:00.0;8566.3311;6537.9780;5553.9243;984.0536;9549.7451
2022-03-27T00:00:00.0/2022-03-28T00:00:00.0;8630.9805;6704.3950;5787.4658;916.9293;10046.1680
2022-03-28T00:00:00.0/2022-03-29T00:00:00.0;8695.1982;6839.2949;5893.8716;945.4232;10178.6309
2022-03-29T00:00:00.0/2022-03-30T00:00:00.0;8759.0332;6926.6611;6122.9312;803.7304;10565.6104
2022-03-30T00:00:00.0/2022-03-31T00:00:00.0;8822.3916;6292.4043;4643.3687;1649.0359;7668.4175
2022-03-31T00:00:00.0/2022-04-01T00:00:00.0;8885.3398;6237.1948;4707.4185;1529.7762;7620.3838
2022-04-01T00:00:00.0/2022-04-02T00:00:00.0;8947.7686;6813.3628;5789.1196;1024.2430;9830.1777
2022-04-02T00:00:00.0/2022-04-03T00:00:00.0;9009.7617;6907.0962;5867.9790;1039.1174;9867.5625
2022-04-03T00:00:00.0/2022-04-04T00:00:00.0;9071.2344;6879.2017;5831.3218;1047.8800;9619.9980
2022-04-04T00:00:00.0/2022-04-05T00:00:00.0;9132.1670;6755.8354;5455.9741;1299.8611;9003.1846
2022-04-05T00:00:00.0/2022-04-06T00:00:00.0;9192.5938;6362.1060;4500.3745;1861.7313;6922.8164
2022-04-06T00:00:00.0/2022-04-07T00:00:00.0;9252.4375;6778.7539;5599.6592;1179.0951;9194.4639
2022-04-07T00:00:00.0/2022-04-08T00:00:00.0;9311.7441;6643.9395;5263.6714;1380.2681;8448.5537
2022-04-08T00:00:00.0/2022-04-09T00:00:00.0;9370.4443;7021.5449;5724.9897;1296.5551;9176.8447
2022-04-09T00:00:00.0/2022-04-10T00:00:00.0;9428.5820;7170.5215;6103.4277;1067.0940;9894.5811
2022-04-10T00:00:00.0/2022-04-11T00:00:00.0;9486.0879;7325.8276;6370.3735;955.4542;10435.0439
2022-04-11T00:00:00.0/2022-04-12T00:00:00.0;9543.0068;7116.0522;5832.8979;1283.1543;9181.5801
2022-04-12T00:00:00.0/2022-04-13T00:00:00.0;9599.2715;7093.1943;6031.8501;1061.3441;9548.2412
