# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): -79.4063
# Longitude (positive East, ISO 19115): 0.3149
# Altitude (m): 2387.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-03-24T00:00:00.0/2022-03-25T00:00:00.0;1513.9730;1088.8938;830.1183;258.7755;7090.2915
2022-03-25T00:00:00.0/2022-03-26T00:00:00.0;1413.2469;994.9446;757.9746;236.9700;6752.4502
2022-03-26T00:00:00.0/2022-03-27T00:00:00.0;1315.3782;943.5616;723.8998;219.6619;6732.8140
2022-03-27T00:00:00.0/2022-03-28T00:00:00.0;1220.3873;859.7299;649.4561;210.2738;6300.5190
2022-03-28T00:00:00.0/2022-03-29T00:00:00.0;1128.3033;797.5933;602.9499;194.6434;6137.3472
2022-03-29T00:00:00.0/2022-03-30T00:00:00.0;1039.1802;728.4185;547.2623;181.1561;5854.2383
2022-03-30T00:00:00.0/2022-03-31T00:00:00.0;953.0390;659.0055;488.3808;170.6247;5494.2271
2022-03-31T00:00:00.0/2022-04-01T00:00:00.0;869.9268;582.9358;419.0853;163.8505;4949.5903
2022-04-01T00:00:00.0/2022-04-02T00:00:00.0;789.8885;513.6515;365.4791;148.1724;4576.1138
2022-04-02T00:00:00.0/2022-04-03T00:00:00.0;712.9675;458.8692;325.6042;133.2650;4333.3218
2022-04-03T00:00:00.0/2022-04-04T00:00:00.0;639.2185;400.2292;276.0498;124.1794;3907.6543
2022-04-04T00:00:00.0/2022-04-05T00:00:00.0;568.6958;351.3349;236.7684;114.5666;3595.8708
2022-04-05T00:00:00.0/2022-04-06T00:00:00.0;501.4470;303.1602;199.1712;103.9890;3252.4800
2022-04-06T00:00:00.0/2022-04-07T00:00:00.0;437.5600;265.9461;178.7167;87.2295;3165.8726
2022-04-07T00:00:00.0/2022-04-08T00:00:00.0;377.1028;215.4404;138.8640;76.5764;2670.5137
2022-04-08T00:00:00.0/2022-04-09T00:00:00.0;320.1592;182.4789;116.7807;65.6982;2458.5493
2022-04-09T00:00:00.0/2022-04-10T00:00:00.0;266.8401;150.6348;93.5409;57.0939;2159.4707
2022-04-10T00:00:00.0/2022-04-11T00:00:00.0;217.2662;120.0706;73.5455;46.5251;1877.0571
2022-04-11T00:00:00.0/2022-04-12T00:00:00.0;171.5987;90.9537;52.8594;38.0943;1486.8597
2022-04-12T00:00:00.0/2022-04-13T00:00:00.0;130.0267;66.0349;37.0563;28.9785;1131.2764
2022-04-13T00:00:00.0/2022-04-14T00:00:00.0;92.8127;45.4736;24.1242;21.3494;713.5041
2022-04-14T00:00:00.0/2022-04-15T00:00:00.0;60.3246;27.8075;13.3721;14.4354;0.0000
2022-04-15T00:00:00.0/2022-04-16T00:00:00.0;33.1198;13.6639;5.4735;8.1904;0.0000
2022-04-16T00:00:00.0/2022-04-17T00:00:00.0;12.1830;4.0682;0.9049;3.1633;0.0000
2022-04-17T00:00:00.0/2022-04-18T00:00:00.0;0.1874;0.0000;0.0000;0.0000;0.0000
2022-04-18T00:00:00.0/2022-04-19T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-19T00:00:00.0/2022-04-20T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-20T00:00:00.0/2022-04-21T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-21T00:00:00.0/2022-04-22T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-22T00:00:00.0/2022-04-23T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-23T00:00:00.0/2022-04-24T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-24T00:00:00.0/2022-04-25T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-25T00:00:00.0/2022-04-26T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-26T00:00:00.0/2022-04-27T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-27T00:00:00.0/2022-04-28T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-28T00:00:00.0/2022-04-29T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-29T00:00:00.0/2022-04-30T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-04-30T00:00:00.0/2022-05-01T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-01T00:00:00.0/2022-05-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-02T00:00:00.0/2022-05-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-03T00:00:00.0/2022-05-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-04T00:00:00.0/2022-05-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-05T00:00:00.0/2022-05-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-06T00:00:00.0/2022-05-07T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-07T00:00:00.0/2022-05-08T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-08T00:00:00.0/2022-05-09T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-09T00:00:00.0/2022-05-10T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-10T00:00:00.0/2022-05-11T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-11T00:00:00.0/2022-05-12T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-12T00:00:00.0/2022-05-13T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-13T00:00:00.0/2022-05-14T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-14T00:00:00.0/2022-05-15T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-15T00:00:00.0/2022-05-16T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-16T00:00:00.0/2022-05-17T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-17T00:00:00.0/2022-05-18T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-18T00:00:00.0/2022-05-19T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-19T00:00:00.0/2022-05-20T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-20T00:00:00.0/2022-05-21T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-21T00:00:00.0/2022-05-22T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-22T00:00:00.0/2022-05-23T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-23T00:00:00.0/2022-05-24T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-24T00:00:00.0/2022-05-25T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-25T00:00:00.0/2022-05-26T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-26T00:00:00.0/2022-05-27T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-27T00:00:00.0/2022-05-28T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-28T00:00:00.0/2022-05-29T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-29T00:00:00.0/2022-05-30T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-30T00:00:00.0/2022-05-31T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-05-31T00:00:00.0/2022-06-01T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-06-01T00:00:00.0/2022-06-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-06-02T00:00:00.0/2022-06-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-06-03T00:00:00.0/2022-06-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-06-04T00:00:00.0/2022-06-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2022-06-05T00:00:00.0/2022-06-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
