# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -10.3333
# Longitude (positive East, ISO 19115): -53.2000
# Altitude (m): 300.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2022-11-10
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-02-23T00:00:00.0/2019-02-24T00:00:00.0;10818.0596;7798.0049;6450.4448;1347.5596;8829.8750
2019-02-24T00:00:00.0/2019-02-25T00:00:00.0;10804.9766;7815.8306;6600.1396;1215.6908;9088.1807
2019-02-25T00:00:00.0/2019-02-26T00:00:00.0;10791.4551;7717.0991;6308.0723;1409.0269;8606.1289
2019-02-26T00:00:00.0/2019-02-27T00:00:00.0;10777.3223;7789.5312;6677.1455;1112.3857;9162.1045
2019-02-27T00:00:00.0/2019-02-28T00:00:00.0;10762.7041;7789.9482;6671.7202;1118.2278;9161.2109
2019-02-28T00:00:00.0/2019-03-01T00:00:00.0;10747.5098;7777.5806;6690.4614;1087.1193;9256.2363
2019-03-01T00:00:00.0/2019-03-02T00:00:00.0;10731.7344;7779.4346;6768.8706;1010.5642;9372.6162
2019-03-02T00:00:00.0/2019-03-03T00:00:00.0;10715.4316;7592.1401;6078.6084;1513.5319;8192.9346
2019-03-03T00:00:00.0/2019-03-04T00:00:00.0;10698.5430;7708.2349;6511.1929;1197.0422;8979.1123
2019-03-04T00:00:00.0/2019-03-05T00:00:00.0;10681.1309;7678.8413;6494.9756;1183.8658;8893.2412
2019-03-05T00:00:00.0/2019-03-06T00:00:00.0;10663.1328;7698.8730;6562.5864;1136.2871;9058.9385
2019-03-06T00:00:00.0/2019-03-07T00:00:00.0;10644.6143;7662.0698;6404.8218;1257.2480;8786.1973
2019-03-07T00:00:00.0/2019-03-08T00:00:00.0;10625.4697;7637.0967;6402.1113;1234.9851;8779.0830
2019-03-08T00:00:00.0/2019-03-09T00:00:00.0;10605.8086;7485.4492;5846.2207;1639.2286;7862.0259
2019-03-09T00:00:00.0/2019-03-10T00:00:00.0;10585.6768;7624.5801;6310.6816;1313.8984;8704.3994
2019-03-10T00:00:00.0/2019-03-11T00:00:00.0;10564.9355;7530.4849;6058.0278;1472.4570;8281.2490
2019-03-11T00:00:00.0/2019-03-12T00:00:00.0;10543.7256;7517.4155;6078.6792;1438.7365;8316.3760
2019-03-12T00:00:00.0/2019-03-13T00:00:00.0;10521.9248;7327.6021;5483.7036;1843.8983;7328.4443
2019-03-13T00:00:00.0/2019-03-14T00:00:00.0;10499.6553;7283.8198;5368.4795;1915.3401;7207.7021
2019-03-14T00:00:00.0/2019-03-15T00:00:00.0;10476.8164;7508.1919;6228.7231;1279.4689;8597.8330
2019-03-15T00:00:00.0/2019-03-16T00:00:00.0;10453.5098;7504.8672;6124.5459;1380.3215;8419.6777
2019-03-16T00:00:00.0/2019-03-17T00:00:00.0;10429.6611;7544.5396;6398.3027;1146.2363;8931.1250
2019-03-17T00:00:00.0/2019-03-18T00:00:00.0;10405.2959;7244.0874;5372.5552;1871.5323;7223.9365
2019-03-18T00:00:00.0/2019-03-19T00:00:00.0;10380.5137;7529.2690;6363.9648;1165.3043;8870.0156
2019-03-19T00:00:00.0/2019-03-20T00:00:00.0;10355.1836;7517.4854;6356.9009;1160.5844;8876.0527
2019-03-20T00:00:00.0/2019-03-21T00:00:00.0;10329.4365;7286.5098;5678.0840;1608.4261;7767.0327
2019-03-21T00:00:00.0/2019-03-22T00:00:00.0;10303.1768;7194.5161;5501.0327;1693.4834;7508.2866
2019-03-22T00:00:00.0/2019-03-23T00:00:00.0;10276.5020;7128.8140;5398.4360;1730.3777;7291.1851
2019-03-23T00:00:00.0/2019-03-24T00:00:00.0;10249.3486;7227.5083;5826.5586;1400.9497;8014.6816
